timestamp,open,high,low,close,volume
1474848000,149.5029,149.5029,148.535,149.0383,2533325.0
1474934400,149.3674,151.7388,148.8738,151.7388,2983602.0
1475020800,151.9517,153.5342,151.2161,153.21,3309408.0
1475107200,153.5391,159.7046,152.4066,153.0358,3372183.0
1475193600,153.8004,154.7083,152.9874,153.752,3596878.0
1475452800,152.9874,153.2874,151.9807,152.5518,2227749.0
1475539200,152.6099,153.4423,150.8193,151.4387,2884146.0
1475625600,152.0291,152.7647,151.6904,152.0388,1684298.0
1475712000,151.8065,152.3776,150.887,151.8452,1949931.0
1475798400,152.0969,152.6389,149.8901,150.6741,2668385.0
1476057600,151.6807,153.4036,151.6275,151.9807,2467856.0
1476144000,151.7,151.913,148.9512,149.8223,2899603.0
1476230400,149.9965,149.9965,148.1672,149.3384,2959700.0
1476316800,148.7673,149.2706,147.3832,148.7866,2909898.0
1476403200,149.5126,150.5386,149.1448,149.4932,4357890.0
1476662400,149.4932,150.887,149.3868,149.803,5836054.0
1476748800,145.2054,146.1539,143.047,145.8829,12764180.0
1476835200,146.4153,147.5574,145.9894,146.4056,4629444.0
1476921600,146.425,147.993,146.1733,146.6573,4020780.0
1477008000,145.7474,146.2991,144.7602,144.8279,4413601.0
1477267200,145.5732,146.6573,145.5732,145.7377,2662724.0
1477353600,145.8539,146.3088,145.0215,146.0378,2647416.0
1477440000,145.8732,148.0317,145.4329,146.9379,2811314.0
1477526400,147.9155,149.1157,147.1412,148.4285,4227704.0
1477612800,149.1061,149.4835,147.2961,147.7123,3654444.0
1477872000,147.8575,149.3771,147.8575,148.7576,3550358.0
1477958400,148.5737,148.9706,146.8702,147.8865,3187660.0
1478044800,147.5864,148.4237,146.8024,147.0735,3072611.0
1478131200,147.6155,148.806,146.9283,147.48,2878718.0
1478217600,147.509,148.7092,146.996,147.538,2467966.0
1478476800,149.048,151.0999,148.9028,150.7225,3746609.0
1478563200,149.5997,150.9257,148.1478,150.1901,3920344.0
1478649600,148.051,150.5676,146.1539,149.8417,5403573.0
