timestamp,open,high,low,close,volume
1474848000,82.42,82.67,81.86,82.15,2717958.0
1474934400,82.51,82.81,81.29,81.43,2268288.0
1475020800,81.73,81.73,80.44,81.1,1998505.0
1475107200,80.82,80.82,79.68,80.31,2897670.0
1475193600,80.62,80.94,79.51,80.04,3883040.0
1475452800,79.78,79.84,78.53,79.09,2960510.0
1475539200,79.1,79.49,77.11,77.46,3491927.0
1475625600,77.58,78.37,76.9269,77.09,3834155.0
1475712000,77.05,77.905,76.54,77.09,5136936.0
1475798400,77.63,78.21,76.52,76.57,4537418.0
1476057600,76.88,77.38,76.54,77.06,2381509.0
1476144000,76.8,76.82,75.81,75.91,3479439.0
1476230400,76.03,76.8099,76.0,76.65,3082168.0
1476316800,76.57,78.47,76.57,77.94,3773514.0
1476403200,77.68,77.98,77.18,77.21,2460481.0
1476662400,77.3,77.81,77.235,77.54,1784519.0
1476748800,77.91,78.25,76.95,77.9,2481537.0
1476835200,77.9,78.28,77.5,78.13,2547351.0
1476921600,78.23,79.09,77.97,78.42,2803992.0
1477008000,78.02,78.26,77.55,78.02,2133129.0
1477267200,78.31,78.61,77.81,78.4,2868073.0
1477353600,78.27,78.82,78.15,78.59,3664546.0
1477440000,78.58,78.93,78.12,78.77,2215132.0
1477526400,78.44,78.74,77.94,78.42,1981438.0
1477612800,78.57,79.0909,78.28,78.72,1608778.0
1477872000,78.96,80.4905,78.8,80.02,3523874.0
1477958400,80.04,80.045,78.34,78.57,2984926.0
1478044800,78.37,78.47,76.93,78.0,3239576.0
1478131200,77.83,78.36,77.4,77.98,2455263.0
1478217600,78.5,79.18,77.18,77.27,2848185.0
1478476800,77.81,79.13,76.9,79.13,3303150.0
1478563200,79.32,79.99,79.0,79.65,2243228.0
1478649600,79.0,79.0,77.15,77.34,4757866.0
1478736000,76.99,76.99,73.69,75.16,6005020.0
1478822400,75.11,75.98,74.75,75.24,3744892.0
1479081600,75.09,75.1,73.58,74.44,5902555.0
1479168000,74.96,76.37,74.86,75.93,4441532.0
1479254400,75.28,75.57,73.6899,73.97,4849072.0
1479340800,73.96,74.495,73.75,73.87,4460056.0
1479427200,74.01,74.21,73.34,73.6,4450492.0
1479686400,73.99,74.5,73.78,74.43,3204142.0
1479772800,74.12,74.34,73.27,73.88,3590303.0
1479859200,73.32,74.3,73.23,73.54,2947578.0
1480032000,73.75,74.71,73.73,74.35,1972203.0
1480291200,74.66,76.14,74.62,76.08,4032329.0
1480377600,75.79,76.67,75.63,76.37,3763059.0
1480464000,75.27,75.36,73.77,73.77,5583103.0
1480550400,73.5,73.57,72.47,72.75,4324738.0
1480636800,73.3,74.18,72.94,73.42,3754148.0
1480896000,73.14,73.61,72.34,73.61,3558939.0
1480982400,73.83,74.22,73.6,73.86,3140033.0
1481068800,73.98,74.77,73.88,74.67,3370685.0
1481155200,74.11,74.93,73.5,74.73,3386584.0
1481241600,74.68,75.84,74.61,75.82,3196119.0
1481500800,75.65,76.59,75.58,76.48,3963323.0
1481587200,76.67,77.45,76.52,77.32,3919560.0
1481673600,77.6,77.9408,75.35,75.53,4755896.0
1481760000,75.34,76.11,74.95,76.03,3127435.0
1481846400,76.2,76.8,75.78,76.59,7037998.0
1482105600,77.1,77.24,76.37,77.13,2774996.0
1482192000,76.71,77.583,76.62,77.35,2639181.0
1482278400,77.23,77.66,76.98,77.0,2013230.0
1482364800,76.96,78.05,76.91,77.77,3339006.0
1482451200,77.77,77.83,77.25,77.62,1421412.0
1482796800,77.49,77.73,77.13,77.48,1554464.0
1482883200,77.54,77.62,76.9,77.03,1870693.0
1482969600,77.11,78.17,77.0,78.02,2975987.0
1483056000,78.05,78.24,77.35,77.62,2465554.0
1483401600,77.65,78.02,77.02,77.73,2905885.0
1483488000,77.65,78.3499,77.63,77.65,2531037.0
1483574400,77.9,77.96,77.044,77.75,3284643.0
1483660800,77.5,77.87,77.26,77.49,3132357.0
1483920000,77.61,77.73,76.4,76.64,4585676.0
1484006400,76.49,76.83,76.14,76.5,2839994.0
1484092800,76.28,77.2,76.25,77.1,2726221.0
1484179200,76.97,77.61,76.7689,77.54,2476286.0
1484265600,77.34,77.48,76.77,77.21,1954231.0
1484611200,77.47,77.83,77.26,77.46,3754997.0
1484697600,77.38,77.91,77.285,77.5,2235709.0
1484784000,77.27,77.57,76.88,77.12,2575166.0
1484870400,77.32,77.58,76.95,77.33,2662838.0
1485129600,77.43,77.68,76.89,77.03,2166774.0
1485216000,77.2,77.33,76.86,77.18,2750781.0
1485302400,76.93,77.12,76.56,77.08,2346870.0
1485388800,76.99,77.23,76.645,77.12,3085410.0
1485475200,77.32,77.63,76.73,76.94,2562048.0
1485734400,76.98,77.52,76.7,77.12,2378276.0
1485820800,77.12,78.56,77.12,78.54,3753439.0
1485907200,78.14,78.26,77.08,77.36,3454980.0
1485993600,77.57,77.94,77.16,77.79,2997371.0
1486080000,77.89,78.04,77.48,77.65,2477382.0
1486339200,77.89,78.037,77.45,77.57,2016971.0
1486425600,77.65,77.8599,77.41,77.75,1629926.0
1486512000,77.82,78.71,77.74,78.64,2973576.0
1486598400,78.53,78.8355,77.57,77.75,3351432.0
1486684800,77.59,78.16,77.59,78.1,2549973.0
1486944000,78.26,78.69,77.9,78.69,2925880.0
1487030400,78.56,78.6799,77.59,78.04,3714287.0
1487116800,76.79,77.17,76.28,76.78,3802020.0
1487203200,77.17,79.21,76.77,78.9,6793779.0
1487289600,78.7,78.99,77.98,78.36,4104558.0
1487635200,78.3,79.22,77.93,79.09,2734984.0
1487721600,79.21,79.99,78.96,79.87,2895004.0
1487808000,79.98,81.07,79.9,80.91,2801027.0
1487894400,81.2,82.21,81.17,81.96,3846756.0
1488153600,81.93,82.2,81.5,81.86,2505846.0
1488240000,81.59,82.82,81.59,82.55,3529876.0
1488326400,81.6,82.5152,81.2,81.93,4831981.0
1488412800,81.6,82.7845,81.39,82.36,4173624.0
1488499200,82.14,82.16,81.28,81.91,2856184.0
1488758400,81.96,82.08,81.53,81.87,2785100.0
1488844800,81.59,82.07,81.46,81.69,3731771.0
1488931200,81.11,81.12,80.25,80.32,3342087.0
1489017600,80.52,80.79,80.02,80.05,3074420.0
1489104000,80.41,80.95,80.17,80.64,3334445.0
1489363200,80.8,80.975,80.455,80.87,3229919.0
1489449600,80.85,81.11,80.61,80.87,2151186.0
1489536000,81.08,82.36,80.84,82.0,3727684.0
1489622400,82.2,82.33,81.24,81.62,4351845.0
1489708800,81.85,82.25,81.519,81.84,7276375.0
1489968000,81.93,82.1,80.855,81.18,3270978.0
1490054400,81.147,83.01,81.12,82.68,5092893.0
1490140800,82.99,83.59,82.58,82.76,2880323.0
1490227200,82.49,83.29,82.35,82.68,2409985.0
1490313600,82.61,83.27,82.45,82.99,2078812.0
1490572800,83.32,83.58,82.41,82.79,2125771.0
1490659200,82.54,82.98,82.35,82.93,2458221.0
1490745600,82.74,82.74,82.19,82.42,2087586.0
1490832000,82.11,82.12,81.66,82.04,2467343.0
1490918400,81.91,82.4731,81.73,82.01,2251805.0
1491177600,81.9,82.29,81.27,82.25,2756209.0
1491264000,82.24,82.69,81.98,82.37,1761394.0
1491350400,82.27,82.97,82.11,82.87,2063554.0
1491436800,82.66,82.87,82.37,82.59,2499236.0
1491523200,82.8,82.99,82.21,82.26,2453141.0
1491782400,82.3,82.44,81.85,82.4,2563931.0
1491868800,82.32,82.4,81.78,82.19,1876596.0
1491955200,81.96,82.84,81.76,82.78,2230805.0
1492041600,82.76,82.9,82.13,82.59,2425103.0
1492387200,82.7,83.0107,82.5401,82.93,2046643.0
1492473600,82.9,83.26,82.65,82.86,2257382.0
1492560000,82.84,82.91,82.0228,82.35,2132635.0
1492646400,82.16,82.16,81.42,82.03,2330809.0
1492732800,82.1,82.7,82.03,82.21,2471072.0
1492992000,82.41,82.69,81.64,82.58,2641318.0
1493078400,82.41,82.72,82.115,82.69,2930277.0
1493164800,82.57,83.285,82.44,82.6,2291774.0
1493251200,82.68,83.35,82.6,82.9,1736736.0
1493337600,82.71,82.9,82.255,82.5,2166592.0
1493596800,82.51,82.6248,81.85,82.07,2069884.0
1493683200,82.23,82.58,81.9046,82.39,2373730.0
1493769600,82.28,82.5503,81.91,82.04,2128876.0
1493856000,81.93,82.66,81.87,82.59,2110419.0
1493942400,82.69,83.15,82.69,82.98,2144467.0
1494201600,83.02,83.155,82.37,82.92,2179697.0
1494288000,82.53,82.97,82.08,82.11,2477177.0
1494374400,82.27,82.695,82.01,82.48,2142991.0
1494460800,82.15,83.02,82.06,83.0,2372914.0
1494547200,83.1,83.6701,83.02,83.48,2013524.0
1494806400,83.55,83.785,83.26,83.58,1996300.0
1494892800,83.58,83.8,83.09,83.12,2614295.0
1494979200,82.3,83.235,82.3,82.78,4344700.0
1495065600,83.1,83.66,82.49,83.25,3772291.0
1495152000,83.36,83.43,82.72,83.37,3104653.0
1495411200,83.27,84.34,83.19,84.1,2213195.0
1495497600,84.13,84.78,84.02,84.3,1749293.0
1495584000,84.47,84.88,84.39,84.69,2971948.0
1495670400,84.81,85.25,84.61,85.14,2802506.0
1495756800,85.19,85.3499,84.9515,85.07,2023992.0
1496102400,85.2,85.54,84.8832,85.41,2501605.0
1496188800,85.52,86.01,85.4,85.68,3251670.0
1496275200,85.48,86.4,85.2398,86.4,3158724.0
1496361600,86.79,86.8,85.92,86.28,2114546.0
1496620800,86.25,86.3,85.69,85.83,2284867.0
1496707200,86.09,86.16,85.66,85.81,2066777.0
1496793600,85.81,86.24,85.58,86.09,3025144.0
1496880000,85.98,86.02,84.75,85.38,2560222.0
1496966400,85.1,85.75,84.917,85.72,2264339.0
1497225600,85.73,86.19,85.08,85.62,3292674.0
1497312000,85.53,86.045,85.42,85.95,2421358.0
1497398400,86.44,86.84,86.09,86.32,2432857.0
